Province_State,Country_Region,Days Passed,Infected,Deaths,Recovered,Active,Fatal per Confirmed,Recovered per Confirmed,Fatal per(Fatal or recovered),Growth Rate,Daily Confirmed,Population,Susceptible
South Carolina,US,1,1,0,0,,0,0,0,0,1,5150000,5149999
South Carolina,US,2,2,0,0,,0,0,0,0,1,5150000,5149998
South Carolina,US,3,3,0,0,,0,0,0,0,1,5150000,5149997
South Carolina,US,4,7,0,0,,0,0,0,4,4,5150000,5149993
South Carolina,US,5,10,0,0,,0,0,0,0.75,3,5150000,5149990
South Carolina,US,6,7,0,0,,0,0,0,-1,-3,5150000,5149993
South Carolina,US,7,8,0,0,,0,0,0,-0.333333333,1,5150000,5149992
South Carolina,US,8,19,0,0,,0,0,0,11,11,5150000,5149981
South Carolina,US,9,19,0,0,,0,0,0,0,0,5150000,5149981
South Carolina,US,10,30,1,17,,0.033333333,0.566666667,0.055555556,0,11,5150000,5149953
South Carolina,US,11,47,1,17,,0.021276596,0.361702128,0.055555556,1.545454545,17,5150000,5149936
South Carolina,US,12,60,1,19,,0.016666667,0.316666667,0.05,0.764705882,13,5150000,5149921
South Carolina,US,13,80,1,24,,0.0125,0.3,0.04,1.538461538,20,5150000,5149896
South Carolina,US,14,126,3,51,,0.023809524,0.404761905,0.055555556,2.3,46,5150000,5149823
South Carolina,US,15,174,3,53,,0.017241379,0.304597701,0.053571429,1.043478261,48,5150000,5149773
South Carolina,US,16,196,3,62,,0.015306122,0.316326531,0.046153846,0.458333333,22,5150000,5149742
South Carolina,US,17,298,5,86,,0.016778523,0.288590604,0.054945055,4.636363636,102,5150000,5149616
South Carolina,US,18,342,5,86,,0.014619883,0.251461988,0.054945055,0.431372549,44,5150000,5149572
South Carolina,US,19,424,7,120,,0.016509434,0.283018868,0.05511811,1.863636364,82,5150000,5149456
South Carolina,US,20,424,9,155,,0.021226415,0.365566038,0.054878049,0,0,5150000,5149421
South Carolina,US,21,542,13,224,,0.02398524,0.413284133,0.054852321,0,118,5150000,5149234
South Carolina,US,22,660,15,258,,0.022727273,0.390909091,0.054945055,1,118,5150000,5149082
South Carolina,US,23,774,16,275,,0.020671835,0.355297158,0.054982818,0.966101695,114,5150000,5148951
South Carolina,US,24,925,18,309,,0.019459459,0.334054054,0.055045872,1.324561404,151,5150000,5148766
South Carolina,US,25,1083,22,378,,0.020313943,0.349030471,0.055,1.046357616,158,5150000,5148539
South Carolina,US,26,1293,26,447,,0.020108275,0.345707657,0.054968288,1.329113924,210,5150000,5148260
South Carolina,US,27,1554,31,533,,0.01994852,0.342985843,0.054964539,1.242857143,261,5150000,5147913
South Carolina,US,28,1700,34,584,,0.02,0.343529412,0.055016181,0.559386973,146,5150000,5147716
South Carolina,US,29,1917,40,687,,0.020865936,0.358372457,0.055020633,1.48630137,217,5150000,5147396
